"","rep","boot_mean","boot_median","boot_sd","boot_p05","boot_p95","fe_est","fe_se"
"5%",1,2.00005839110884,1.99988868685559,0.0109128422601982,1.98164904053667,2.01888363599328,1.99993703243682,0.0110064654674729
"5%1",2,1.99488371647136,1.99505399448831,0.00898478225307568,1.97971307806619,2.00891589625966,1.99454406128515,0.00975837675759452
"5%2",3,1.99867572953313,1.99877542466248,0.00985863757239253,1.98243444704786,2.01512979370267,1.99846895903073,0.0109416369866644
"5%3",4,2.00452244066769,2.00471861210388,0.00857692277109723,1.99071182639843,2.01816937527034,2.00489445642553,0.0132901179544604
"5%4",5,1.9871494715536,1.98694340997678,0.00762116382194736,1.97438266575007,1.99917990740964,1.98691984191903,0.00864811794286314
"5%5",6,2.00484051074407,2.00483958452841,0.00885669461390497,1.99051578858432,2.01890628035324,2.00497026982789,0.0119248359014125
"5%6",7,2.00296185600008,2.00305752558005,0.00838116416297076,1.98932045434283,2.01637725177891,2.00269952325648,0.0113989962930444
"5%7",8,1.99509456624215,1.99519381202479,0.00964102371566181,1.97947730703713,2.01077399387057,1.99502056119426,0.0109583542463094
"5%8",9,2.00250429878317,2.00247188425993,0.00915503853896134,1.9870757186235,2.01701076707021,2.00253646654879,0.0112581077587982
"5%9",10,2.00129647053578,2.00153665256275,0.00821433261205719,1.98792064553018,2.01439104819869,2.00119201801706,0.0122171969704069
"5%10",11,2.0100910430034,2.0095635430132,0.00992197223605725,1.9946848351723,2.02646202027849,2.00962286903088,0.0137481029841593
"5%11",12,1.99977875900992,1.9990992657876,0.00892271161368683,1.98575999373937,2.01469105977942,1.99919896282888,0.0121720952730003
"5%12",13,2.00969761294597,2.00954947267997,0.00795351372626388,1.9967605936414,2.02298663973137,2.00968091671079,0.0117557822081436
"5%13",14,1.98899299970204,1.98882513971852,0.00891898141510968,1.97462760211593,2.00401609901716,1.98926227916269,0.0109193527697686
"5%14",15,2.01242623264065,2.01224976703499,0.00848318365868707,1.99930566956523,2.0261420792739,2.01203112235454,0.0107572850472061
"5%15",16,2.00849720471503,2.00915671578579,0.0107579593691674,1.99057847852783,2.02594584354031,2.00830647478125,0.0106171269806051
"5%16",17,2.00246483286746,2.00239659436328,0.00766996804583408,1.99002711196582,2.01500828809663,2.00254603805018,0.00931601295294915
"5%17",18,1.99317421758906,1.99294141614653,0.00934421474203951,1.97789288974257,2.00888837798661,1.99276909344829,0.0123538140331774
"5%18",19,2.00413553273639,2.00400304449809,0.0116026486014967,1.98448626525698,2.02342969807704,2.00365208069689,0.013011579977928
"5%19",20,1.99093922650587,1.99110181797134,0.00889645402679523,1.97664478601417,2.00576701526917,1.9909806441698,0.0103738213395575
"5%20",21,2.00299521339356,2.00306657088849,0.00986660126515239,1.98692374588846,2.01882182770805,2.00337304439344,0.0135946016664302
"5%21",22,2.00549946331961,2.00584298726225,0.00835844225028447,1.99188893250856,2.01935412997268,2.0050768614851,0.0102517934705617
"5%22",23,1.99602686726311,1.99617834364402,0.0102443398227432,1.97972794915011,2.01225107992888,1.99564482534484,0.0150088359537413
"5%23",24,1.99613080697002,1.99615606494713,0.00920186821624029,1.98066909720576,2.01076294644497,1.99647223660498,0.00775094550306928
"5%24",25,1.98678120889659,1.98692472067546,0.00926129125759782,1.97120855603846,2.00181963307117,1.98628490430274,0.0172121449667497
"5%25",26,2.00842313245796,2.00857533391869,0.00936644420836983,1.99299493276395,2.02383279206185,2.00840233527314,0.0148704722930433
"5%26",27,1.9967638947209,1.99682635594284,0.00988397754640168,1.98078024108444,2.01283137105704,1.99678691789109,0.0133713177966127
"5%27",28,1.99266363043353,1.99262967946541,0.0090059678230406,1.97819070595224,2.00711018567746,1.99290821136753,0.0105965589275262
"5%28",29,2.00730085741023,2.00738385080263,0.0102387391144914,1.99038790677544,2.02427861377778,2.00706333362119,0.0130415254389557
"5%29",30,2.00669912907847,2.00690155225323,0.0095420343248523,1.99119956507004,2.02161691426376,2.00668221500571,0.00968312955798412
"5%30",31,2.00270986881488,2.00265937799004,0.00950229858407178,1.9870818898605,2.01815566750166,2.00291743577052,0.0133267760329397
"5%31",32,2.00486986454651,2.00487347340123,0.00906047413913173,1.98987154620843,2.01940987624507,2.00465499999536,0.0116158892346531
"5%32",33,1.99674892116104,1.99663381083469,0.00858423687803311,1.98250779936778,2.01077175834229,1.99723196206115,0.0117420339757689
"5%33",34,2.00003216606112,2.00022333655791,0.00897443395913777,1.98468811749255,2.0148962244791,2.00048564711412,0.0125087452330672
"5%34",35,2.00554695036362,2.00572778689335,0.0094899446966975,1.99042397439957,2.02043768025902,2.00573727477963,0.0135092547879472
"5%35",36,1.99381088221414,1.99384443936107,0.00804307977978554,1.98021072614138,2.0075940429954,1.99400806563639,0.00992187554540892
"5%36",37,2.01175080002828,2.01179457508738,0.00756310285699884,1.9992975140263,2.02435849587769,2.01126720312952,0.00818606012418476
"5%37",38,2.00120800857917,2.00108860768716,0.00761300348403633,1.98890648378673,2.01372174153067,2.00147083170577,0.00971692350676235
